                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2559,                 4.2074,                 1.6507,                0.00283,                0.23617,                0.04722,                0.01382,                  1.956,                 3.9829,                 1.3459,              0.0001625,              0.0001625,              0.0001625
                      2,                 2.0317,                 3.2765,                 1.4127,                0.00929,                0.48447,                0.19007,                0.10042,                 1.8566,                 3.5593,                 1.2554,             0.00032079,             0.00032079,             0.00032079
                      3,                 1.8993,                  2.311,                   1.28,                0.01134,                0.55982,                0.22255,                 0.1068,                 1.7823,                  3.108,                 1.2213,             0.00046176,             0.00046176,             0.00046176
                      4,                 1.7697,                 1.9314,                 1.2069,                0.74688,                0.16911,                0.52101,                0.22555,                 1.7671,                 2.4923,                 1.2028,             0.00058541,             0.00058541,             0.00058541
                      5,                 1.6565,                 1.8114,                 1.1809,                 0.6961,                 0.4677,                0.51943,                0.21886,                 1.7578,                 1.9862,                 1.2322,             0.00069173,             0.00069173,             0.00069173
                      6,                 1.7124,                 1.5733,                 1.2181,                0.60563,                0.65297,                0.54784,                 0.2595,                 1.7131,                 1.7215,                 1.2124,             0.00078072,             0.00078072,             0.00078072
                      7,                 1.6536,                 1.5568,                 1.1888,                0.61191,                0.66324,                0.54969,                0.27248,                 1.7112,                 1.5979,                 1.2096,             0.00085239,             0.00085239,             0.00085239
                      8,                 1.6784,                 1.3963,                 1.1678,                0.71399,                 0.6418,                0.71166,                0.34379,                 1.7252,                 1.5612,                 1.2161,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.6907,                 1.3645,                 1.1614,                0.59072,                0.90654,                 0.6866,                 0.3518,                 1.7197,                 1.5642,                 1.2034,             0.00081688,             0.00081688,             0.00081688
                     10,                 1.6392,                 1.2866,                 1.1535,                0.63854,                0.86095,                0.77074,                0.40317,                 1.6493,                 1.4236,                 1.1792,               0.000755,               0.000755,               0.000755
                     11,                 1.6265,                 1.4914,                 1.1687,                0.57812,                 0.8573,                 0.7293,                0.40788,                 1.6724,                 1.4129,                  1.191,             0.00069313,             0.00069313,             0.00069313
                     12,                 1.6319,                 1.3876,                 1.1732,                0.57334,                 0.8129,                0.71496,                0.43609,                  1.637,                 1.4883,                 1.1873,             0.00063125,             0.00063125,             0.00063125
                     13,                 1.6304,                 1.3849,                 1.1607,                0.51575,                0.89524,                0.70502,                0.37321,                 1.6626,                 1.4991,                 1.2048,             0.00056938,             0.00056938,             0.00056938
                     14,                 1.6189,                 1.2803,                  1.168,                 0.5858,                0.88063,                0.72208,                0.35627,                 1.6732,                 1.4777,                 1.1822,              0.0005075,              0.0005075,              0.0005075
                     15,                 1.6214,                 1.2411,                 1.1824,                0.61558,                 0.8635,                0.73246,                0.37884,                  1.637,                 1.4577,                 1.1587,             0.00044563,             0.00044563,             0.00044563
                     16,                 1.5374,                 1.1921,                 1.1306,                0.70271,                0.84714,                0.73414,                0.44689,                 1.5921,                 1.4153,                 1.1303,             0.00038375,             0.00038375,             0.00038375
                     17,                 1.5597,                 1.1796,                 1.1148,                0.68795,                0.82166,                0.72418,                0.44134,                 1.5922,                  1.408,                 1.1272,             0.00032188,             0.00032188,             0.00032188
                     18,                 1.5506,                 1.1584,                 1.1319,                0.69412,                0.83423,                0.71161,                  0.441,                 1.5665,                 1.4083,                 1.1192,                0.00026,                0.00026,                0.00026
                     19,                  1.503,                 1.1439,                  1.116,                 0.6969,                0.83385,                0.70219,                0.43585,                 1.5549,                 1.4131,                 1.1158,             0.00019813,             0.00019813,             0.00019813
                     20,                 1.5343,                 1.1385,                 1.1381,                0.70394,                0.83508,                0.70745,                0.44411,                 1.5459,                 1.4413,                 1.1154,             0.00013625,             0.00013625,             0.00013625
